tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
902,1/1/2016 0:26,1/1/2016 0:41,3109,Banker St & Meserole Ave,40.72606,-73.95621,532,S 5 Pl & S 4 St,40.710451,-73.960876,16316,Subscriber,1983,1
941,1/1/2016 0:26,1/1/2016 0:42,3137,5 Ave & E 73 St,40.77282817,-73.96685276,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,16498,Customer,,0
918,1/1/2016 0:26,1/1/2016 0:42,3109,Banker St & Meserole Ave,40.72606,-73.95621,532,S 5 Pl & S 4 St,40.710451,-73.960876,22231,Subscriber,1988,2
769,1/1/2016 0:27,1/1/2016 0:40,3124,46 Ave & 5 St,40.74731,-73.95451,3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276,23963,Subscriber,1979,1
1278,1/1/2016 0:27,1/1/2016 0:48,376,John St & William St,40.70862144,-74.00722156,301,E 2 St & Avenue B,40.72217444,-73.98368779,14659,Subscriber,1971,1
1433,1/1/2016 0:27,1/1/2016 0:51,279,Peck Slip & Front St,40.707873,-74.00167,511,E 14 St & Avenue B,40.72938685,-73.97772429,17030,Customer,,0
1605,1/1/2016 0:27,1/1/2016 0:54,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3002,South End Ave & Liberty St,40.711512,-74.015756,20741,Customer,,0
1254,1/1/2016 0:27,1/1/2016 0:48,376,John St & William St,40.70862144,-74.00722156,301,E 2 St & Avenue B,40.72217444,-73.98368779,23592,Subscriber,1972,1
551,1/1/2016 0:27,1/1/2016 0:36,483,E 12 St & 3 Ave,40.73223272,-73.98889957,531,Forsyth St & Broome St,40.71893904,-73.99266288,20850,Subscriber,1981,1
1591,1/1/2016 0:27,1/1/2016 0:54,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3002,South End Ave & Liberty St,40.711512,-74.015756,19675,Customer,,0
1417,1/1/2016 0:27,1/1/2016 0:51,279,Peck Slip & Front St,40.707873,-74.00167,511,E 14 St & Avenue B,40.72938685,-73.97772429,18489,Customer,,0
365,1/1/2016 0:27,1/1/2016 0:33,496,E 16 St & 5 Ave,40.73726186,-73.99238967,212,W 16 St & The High Line,40.74334935,-74.00681753,22916,Subscriber,1954,1
1577,1/1/2016 0:27,1/1/2016 0:54,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3002,South End Ave & Liberty St,40.711512,-74.015756,22198,Customer,,0
305,1/1/2016 0:27,1/1/2016 0:32,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3162,W 78 St & Broadway,40.78339981,-73.98093133,15148,Subscriber,1968,1
1575,1/1/2016 0:27,1/1/2016 0:54,515,W 43 St & 10 Ave,40.76009437,-73.99461843,3002,South End Ave & Liberty St,40.711512,-74.015756,19002,Customer,,0
89,1/1/2016 0:28,1/1/2016 0:29,483,E 12 St & 3 Ave,40.73223272,-73.98889957,237,E 11 St & 2 Ave,40.73047309,-73.98672378,19374,Subscriber,1971,1
2329,1/1/2016 0:28,1/1/2016 1:07,217,Old Fulton St,40.70277159,-73.99383605,263,Elizabeth St & Hester St,40.71729,-73.996375,16158,Customer,,0
2243,1/1/2016 0:28,1/1/2016 1:05,497,E 17 St & Broadway,40.73704984,-73.99009296,3222,Hanson Pl & St Felix St,40.6851596,-73.97711366,23068,Subscriber,1981,0
755,1/1/2016 0:28,1/1/2016 0:41,3078,Broadway & Roebling St,40.70925562,-73.95982218,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,18580,Subscriber,1980,2
275,1/1/2016 0:28,1/1/2016 0:33,358,Christopher St & Greenwich St,40.73291553,-74.00711384,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,21223,Subscriber,1969,2
469,1/1/2016 0:28,1/1/2016 0:36,3137,5 Ave & E 73 St,40.77282817,-73.96685276,3140,1 Ave & E 78 St,40.77140426,-73.9535166,23582,Subscriber,1980,1
2508,1/1/2016 0:28,1/1/2016 1:10,3165,Central Park West & W 72 St,40.77579377,-73.97620574,495,W 47 St & 10 Ave,40.76269882,-73.99301222,19502,Customer,,0
304,1/1/2016 0:28,1/1/2016 0:33,317,E 6 St & Avenue B,40.72453734,-73.98185424,473,Rivington St & Chrystie St,40.72110063,-73.9919254,23082,Subscriber,1983,1
272,1/1/2016 0:28,1/1/2016 0:33,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,3124,46 Ave & 5 St,40.74731,-73.95451,22544,Subscriber,1979,1
1824,1/1/2016 0:29,1/1/2016 0:59,352,W 56 St & 6 Ave,40.76340613,-73.97722479,410,Suffolk St & Stanton St,40.72066442,-73.98517977,22100,Subscriber,1992,1
